Date.Rptd,DATE.OCC,TIME.OCC,AREA,AREA.NAME,Part.1.2,Crm.Cd,Crm.Cd.Desc,Mocodes,Vict.Age,Vict.Sex,Vict.Descent,Premis.Cd,Premis.Desc,Weapon.Used.Cd,Weapon.Desc,Status,Status.Desc,Crm.Cd.1,LOCATION,LAT,LON,Year,Month,Date
08/07/2021 12:00:00 AM,08/07/2021 12:00:00 AM,700,13,Newton,2,901,VIOLATION OF RESTRAINING ORDER,1202 2038 0360 0319,70,F,H,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,901,6900 S  BROADWAY,33.9771,-118.2783,08,2021,2021-08-07
05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,1515,13,Newton,2,903,CONTEMPT OF COURT,1814 0416,20,F,H,501,SINGLE FAMILY DWELLING,NA,,AA,Adult Arrest,903,4400 S  SAN PEDRO                    ST,34.0034,-118.2696,05,2020,2020-05-29
09/23/2020 12:00:00 AM,09/22/2020 12:00:00 AM,2300,19,Mission,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,48,F,H,123,PARKING UNDERGROUND/BUILDING,NA,,IC,Invest Cont,745,12900    DRONFIELD                    AV,34.3048,-118.4333,09,2020,2020-09-22
01/03/2021 12:00:00 AM,01/03/2021 12:00:00 AM,1408,15,N Hollywood,2,624,BATTERY - SIMPLE ASSAULT,0361 0400 0416,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,11200    MORRISON                     ST,34.1608,-118.3746,01,2021,2021-01-03
11/02/2022 12:00:00 AM,11/01/2022 12:00:00 AM,600,16,Foothill,2,354,THEFT OF IDENTITY,1501,35,F,H,602,BANK,NA,,IC,Invest Cont,354,7800    APPERSON                     ST,34.256,-118.3027,11,2022,2022-11-01
02/27/2021 12:00:00 AM,02/27/2021 12:00:00 AM,1000,1,Central,2,624,BATTERY - SIMPLE ASSAULT,0917 0104 0448 0444 0344 1822,22,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,800 S  FIGUEROA                     ST,34.0476,-118.2615,02,2021,2021-02-27
10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,930,14,Pacific,2,624,BATTERY - SIMPLE ASSAULT,0416 1402 2004 0342 0444,47,M,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,DUDLEY                       AV,33.9942,-118.4795,10,2023,2023-10-15
07/31/2023 12:00:00 AM,07/30/2023 12:00:00 AM,2030,10,West Valley,2,946,OTHER MISCELLANEOUS CRIME,1822 0603,43,F,H,501,SINGLE FAMILY DWELLING,NA,,AO,Adult Other,946,6800    AMIGO                        AV,34.1939,-118.5386,07,2023,2023-07-30
07/05/2023 12:00:00 AM,07/04/2023 12:00:00 AM,1007,4,Hollenbeck,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,41,F,H,402,MARKET,NA,,IC,Invest Cont,440,2700 E  1ST                          ST,34.0421,-118.206,07,2023,2023-07-04
06/30/2022 12:00:00 AM,06/30/2022 12:00:00 AM,2202,3,Southwest,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329 2001,21,X,X,122,"VEHICLE, PASSENGER/TRUCK",NA,,IC,Invest Cont,740,1200 W  37TH                         PL,34.02,-118.2944,06,2022,2022-06-30
06/01/2023 12:00:00 AM,04/07/2023 12:00:00 AM,1400,2,Rampart,2,662,"BUNCO, GRAND THEFT",0701 0800 0913 0344,66,M,O,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),NA,,IC,Invest Cont,662,2400 W  8TH                          ST,34.0563,-118.281,04,2023,2023-04-07
02/22/2021 12:00:00 AM,02/22/2021 12:00:00 AM,1455,21,Topanga,2,354,THEFT OF IDENTITY,1822,45,F,W,501,SINGLE FAMILY DWELLING,NA,,IC,Invest Cont,354,6100    PETERSON                     AV,34.1819,-118.6462,02,2021,2021-02-22
